,1,2,3,4,5,6
13,Monday Night Mechs #009: The Battle of Tukayyid,"Group name:
Brooklyn Battletech • Brooklyn, NY","TUE, MAY 17 · 1:00 AM UTC+2",4 attendees,No place left,https://www.meetup.com/Brooklyn-Battletech-Meetup/events/285074336
14,Switch your Career to UX Design,"Group name:
Mento Design Academy Group • New York, NY","TUE, MAY 17 · 6:00 PM UTC+2",144 attendees,No place left,https://www.meetup.com/mento-design-academy-group/events/285504755
15,Introduction to Python,"Group name:
Code Labs Academy NYC - Coding Bootcamp • New York, NY","TUE, MAY 17 · 6:00 PM UTC+2",46 attendees,No place left,https://www.meetup.com/code-labs-academy-nyc-coding-bootcamp/events/285541983
16,"Greg Brougham - Transformation, Is it a Thing?","Group name:
The Complexity Lounge • New York, NY","TUE, MAY 17 · 6:00 PM UTC+2",38 attendees,No place left,https://www.meetup.com/Complexity-Lounge/events/285677058
17,Microsoft Teams Rooms – Extending your teams journey into shared spaces,"Group name:
NYC Teams Tuesday • New York, NY","TUE, MAY 17 · 6:15 PM UTC+2",11 attendees,No place left,https://www.meetup.com/NYC-Teams-Tuesday/events/285231125
18,IN-PERSON in Prospect Park,"Group name:
Old, Weird & Don't Care Who Knows It • Brooklyn, NY","TUE, MAY 17 · 8:00 PM UTC+2",8 attendees,No place left,https://www.meetup.com/Old-Weird-Dont-Care-Who-Knows-It/events/285576064
19,Spanish and English FREE Dual Language Learning Hour,"Group name:
Double Talkers: 2 Become Bilingual • New York, NY","TUE, MAY 17 · 11:00 PM UTC+2",13 attendees,9 spots left,https://www.meetup.com/DoubleTalkers/events/285576479
20,"Discuss ""The Dakota Winters"" IN PERSON!","Group name:
Women's 'Novels of New York' Book Club • New York, NY","WED, MAY 18 · 12:00 AM UTC+2",22 attendees,No place left,https://www.meetup.com/NovelsOfNewYork/events/285114226
21,The Basics of UX UI Design,"Group name:
Ironhack New York - Tech Careers, Learning and Networking • New York, NY","WED, MAY 18 · 12:00 AM UTC+2",36 attendees,No place left,https://www.meetup.com/ironhack-new-york-tech-careers-learning-and-networking/events/285552721
22,Bitcoin Happy Hour,"Group name:
Blockchain Center • New York, NY","WED, MAY 18 · 12:00 AM UTC+2",49 attendees,No place left,https://www.meetup.com/blockchaincenter/events/284821234
23,Talk & Discussion: Accessibility 201 – Design Maturity Models,"Group name:
SDN New York Chapter (NYC Service Design Collective) • New York, NY","WED, MAY 18 · 12:00 AM UTC+2",25 attendees,No place left,https://www.meetup.com/sdnnyc/events/285697095
24,Weimar Berlin Cabaret show-2 on waitlist,"Group name:
Fabulous females seeking female friends over 50 for events • New York, NY","WED, MAY 18 · 12:20 AM UTC+2",7 attendees,No place left,https://www.meetup.com/fabulous-females-over-50-seekingFemalefriendsforevents/events/285153161
25,Micro Gathering,"Group name:
Tribes of Humanity • Brooklyn, NY","WED, MAY 18 · 12:30 AM UTC+2",4 attendees,No place left,https://www.meetup.com/tribes-of-humanity/events/285676976
26,Veil of Maya & Born of Osiris,"Group name:
Let's Go to Metal Shows • New York, NY","WED, MAY 18 · 12:30 AM UTC+2",4 attendees,7 spots left,https://www.meetup.com/lets-go-to-metal-shows/events/285489455
27,FREE Workshop on QA Automation,"Group name:
NYC: Tech Career in QA Automation and Product Management • New York, NY","WED, MAY 18 · 12:30 AM UTC+2",19 attendees,6 spots left,https://www.meetup.com/qa-productmanagement-boot-camp/events/285740652
